type,caption,alt_text,src,href
Video,Malique. - Fringe kapitaal,met weinig middelen waarde creeren,Malique. - Fringe kapitaal.png,https://youtu.be/rw9Kpuhru8M
Video ,Malique - De Buurt,"Deep dive in de buurt. 
Malique vertelt over de samenstelling van fragmenten (cultureel kapitaal) die de afgelopen decennia De Buurt hebben gevormd",Malique - De Buurt.png,https://www.youtube.com/watch?v=ccStnC20z7g
Artikel,"Hosselaar, William Ruto nieuwe president Kenia",Hosselaars mentaliteit en gedragingen,"‘Hosselaar’ William Ruto nieuwe president Kenia, gevechten bij bekendmaking uitslag.png",https://www.volkskrant.nl/nieuws-achtergrond/hosselaar-william-ruto-nieuwe-president-kenia-gevechten-bij-bekendmaking-uitslag~b4ac4ec7/
Audio,Malique - Buurt vertalen,over het zichtbaar maken van het kapitaal naar iets wat de buurt herkent,Malique - Buurt vertalen.png,https://www.youtube.com/watch?v=o9MZmaWvSOU
Artikel,Makeshift Modernity,Pan-africanism/afro-futurism,Makeshift Modernity.png,https://africasacountry.com/2021/07/makeshift-modernity
LYRIC VIDEO,FRINGE,OUTPUT VAN DE WORKSHOPS,LYRIC VIDEO - FRINGE.png,https://youtu.be/9MctyA33n34
CONTEXT VIDEO,THE NIGHTSHOP - DE AMBASSADE VAN DE BUURT,,CONTEXT VIDEO - THE NITESHOP.png,https://youtu.be/e9nZrJxXhW8
VIDEO ,ROMY - VORMEN VAN KENNISOVERDRACHT,TUSSENRUIMTE INTERVIEW,ROMY - VORMEN VAN KENNISOVERDRACHT.png,https://youtu.be/4TiIReNoYFM
AUDIO,SCIENTIST - MATERIALIZE,,SCIENTIST - MATERIALIZE.jpeg,https://open.spotify.com/track/4ixUqavwHPztxMDoGOfj3e?si=413f846e05244157
AUDIO,"IDALY, HEF - IN DE KOU",,"IDALY, HEF - IN DE KOU.png",https://open.spotify.com/track/1whgAsTWeYxgOzMPgGLnjL?si=8f201815c06a42ac
AUDIO,JUNGLE BROTHERS - TRIBE VIBES,,JUNGLE BROTHERS - TRIBE VIBES.jpg,https://open.spotify.com/track/21inNTufWgNPUazscImovF?si=5294b6cacc5847c9
AUDIO,STEVE SPACEK - TAKE OVA FEAT. ODDISEE,,STEVE SPACEK - TAKE OVA FEAT. ODDISEE.jpg,https://open.spotify.com/track/78oYGAeq7mCYd6PrnXE6Td?si=f4d5628421994aa5
AUDIO,DARKTONIC - AWVULE REMAKE,,DARKTONIC - AWVULE REMAKE.jpeg,https://open.spotify.com/track/64oLmNYWcYGU6B72uDKZqB?si=78ae81ab4d204d2d
Artikel,Cultural Revolutions: how dub conquered britain,"With its heavy beat of drum and bass, and the hypnotic spacing of reverb and echo, dub is a world apart from the music it grew from – the reggae of artists such as Bob Marley and Desmond Dekker.
But it emerged from the same ghettos of Kingston in Jamaica, half a century ago. And Britain is where dub found its most fervent adopted home – thanks in large part to the Windrush generation that arrived from the Caribbean after the second world war. A cultural legacy that is now being celebrated in a new exhibition, which opens at the Museum of London on Friday.
“It’s a soundtrack of our lives,” said Mad Professor, 65, whose real name is Neil Fraser. He moved to England from Guyana when he was 15 in 1970. It was a time when white music dominated the radio – the Beatles and Rolling Stones – and immigrants, he said, felt culturally alienated.
",how dub conquered britain.png,https://repeatingislands.com/2020/09/29/cultural-revolutions-how-dub-reggaes-beats-conquered-70s-britain/
Artikel,What does Cyberghetto mean? - invloed van buurt op fashion,"Many have pointed out the issue with the aesthetic being credited towards 2000s era socialites, like Paris Hilton, while overlooking the strong influence from hip-hop and R&B singers of that era like TLC, Blaque, Lil Kim, Aaliyah, Destiny’s Child, and many more.
In spite of the term  originating from a person of color, some POC find the term to be offensive.
This sort of reaction is fair, considering oftentimes fashion and beauty trends pioneered by Black people are deemed “ghetto” and “unprofessional” until worn by someone who is white or white passing.
",What does Cyberghetto mean?.png,https://stayhipp.com/glossary/what-does-cyberghetto-mean/
