type,caption,alt_text,src,href
Video,Monday - Plein,"Monday vertelt over de functie van het plein, wat die zou moeten hebben",Monday - Plein.png,https://www.youtube.com/watch?v=j2m_2puGksc
Video,Malique - Samenlevingscomplex,"De samenleving wordt alsmaar complexer, we staan voor grote uitdagingen.'",Malique - Samenlevingscomplex.png,https://www.youtube.com/watch?v=N3yJWynTsbw&feature=youtu.be
Video ,Reclaiming The Block - 17 maart - Het Plein presentatie Yout Dem,Yout Dem presenteert the outcome van het ontwerpend onderzoek en reflecteert op het proces,Reclaiming The Block - 17 maart - Het Plein presentatie Yout Dem.png,https://www.youtube.com/watch?v=TSLCuh4Zzgo
Video ,Shay - Rol van de professional,"Shay spreekt over haar manier 
van werken als professional in het veld. Betrokken zijn en jezelf kwetsbaar opstellen zijn oa kerntaken die onderdeel zijn in het hanteren van haar werkwijze.",Shay - Rol van de professional.png,https://www.youtube.com/watch?v=NZvLqDCeEuo
Video,Chinouk klinkt misschien een beetje cynisch,"Ruimte moet gemaakt worden, ruimte ontstaat niet'",Chinouk klinkt misschien een beetje cynisch.png,https://www.youtube.com/watch?v=CpVEeIGUlUg
Video,Richard Heinberg - End of Growth,Mensen moeten weten van hun bestaan en de waarde die ze brengen….,Richard Heinberg - End of Growth.png,https://www.youtube.com/watch?v=kPgohNERJBI&t=2143s
LYRIC VIDEO,TUSSENRUIMTE,OUTPUT VAN DE WORKSHOPS,LYRIC VIDEO - TUSSENRUIMTE.png,https://youtu.be/YpqWsbRxyEE
CONTEXT VIDEO,"TUSSENRUIMTEN, TOOLKITS EN MODELLEN",,VIDEO - THE TOOLKIT.png,https://youtu.be/ve0kUzARVKE
VIDEO ,FRANCIEN - TIJD & RUIMTE,TUSSENRUIMTE INTERVIEW,FRANCIEN - TIJD & RUIMTE.png,https://youtu.be/PfcIsMUADII
VIDEO ,FRANCIEN - VERBREDEN VAN JE PERSPECTIEF,TUSSENRUIMTE INTERVIEW,FRANCIEN - VERBREDEN VAN JE PERSPECTIEF.png,https://youtu.be/-K6DDbO3wu0
VIDEO ,NACOR - HET BIEDEN VAN RUIMTE,TUSSENRUIMTE INTERVIEW,NACOR - HET BIEDEN VAN RUIMTE.png,https://youtu.be/yUsvELVWHuY
VIDEO ,JAN - ANDERE VORMEN VAN ORGANISEREN,TUSSENRUIMTE INTERVIEW,JAN - ANDERE VORMEN VAN ORGANISEREN.png,https://youtu.be/1QAT1_lBojs
VIDEO,GYONNE - EEN ANDER AANPAK IS URGENT,TUSSENRUIMTE INTERVIEW,GYONNE - EEN ANDER AANPAK IS URGENT.png,https://youtu.be/Z_cDvz4U-R0
VIDEO,GYONNE - FACILITEREN VAN BESTAANDE CULTUREN,TUSSENRUIMTE INTERVIEW,GYONNE - FACILITEREN VAN BESTAANDE CULTUREN.png,https://youtu.be/d9NkbJya-TQ
AUDIO,CAKEDOG - OW,,CAKEDOG - OW.webp,https://open.spotify.com/track/1jY66LwwMqNguj6lNLsaoT?si=23252e8025bc4746
AUDIO,RAS G - LEATHER LO JACKET,,RAS G - LEATHER LO JACKET.jpg, https://open.spotify.com/track/3xO69l034ALph4ug1yrZPz?si=21e3b94a04a9489f
AUDIO,DJ PYTHON - DESCANSE,,DJ PYTHON - DESCANSE.jpeg,https://open.spotify.com/track/4OQOtq13NDob5sVbAhRla6?si=8f756443131649e3
AUDIO,TERRACE MARTIN PRESENTS THE POLLYSEEDS - BELIEVE,,TERRACE MARTIN PRESENTS THE POLLYSEEDS - BELIEVE.jpeg,https://open.spotify.com/track/5IvV0Y1OQ1wdLVwIVzAHMT?si=ce04e83ff0224981
AUDIO,ROY AYERS UBIQUITY - LIFELINE,,ROY AYERS UBIQUITY - LIFELINE.jpeg,https://open.spotify.com/track/6nQ5BgxkRV5adJWZ5J3yhO?si=78a6bd448eff45fb
AUDIO,DUVAL TIMOTHY - WAHALA,,DUVAL TIMOTHY - WAHALA.jpeg,https://open.spotify.com/track/7bR6A3WTqnCyBnl4AzKAY0?si=449c61b701b6463f
Artikel,"The Ethical Dilemma of African Journalist - A Nigerian Perspective

Bosah ebo
","This article uses Nigeria as a case study to examine the nature and consequences of the ethical dilemma African journalists face as a result of conflicting obligations to their profession and socio-politicaI environments. Professional skills and codes of conduct used by African journalists are adapted from Western libertarian news media philosophy that prescribes news media that are independent from the government. But African governments favor the development journalism philosophy that calls for a close working relationship between the news media and government because of political instability and national development objectives. The conflicting expectations between the two philosophies create a clash of loyalties and ultimately an ethical dilemma for African journalists.

",The Ethical Dilemma of African Journalist.png,https://www.tandfonline.com/doi/abs/10.1207/s15327728jmme0902_2
VIDEO (found footage),"Dark and Lovely ad
Vs
Natural hair (Goldie
",https://www.instagram.com/p/CkmIVKcL46-/?igshid=MDJmNzVkMjY= deze link werkt niet meer,Dark and Lovely ad.png,https://www.youtube.com/watch?v=_MTKBbfuIzc&list=PLkNDSq04kbPXC9KI9pZwAmbwJQbMg_Ypb&index=7
Artikel,"4. Because “It’s Showtime, Ladies and Gentlemen!”","Showtime, buskers, subway pole dancing,  Decontextualiseren van ruimte 
onderhandeling(met dans als taal) over de functie van ruimte(metro)
","4. Because “It’s Showtime, Ladies and Gentlemen!”.png",https://nymag.com/news/articles/reasonstoloveny/2013/subway-dancers/
